Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Significant,Regulation,Gene Symbol,Gene Title,Display_Name
242009_at,4.697217373287234,11.40887082535,-6.711653452062766,-26.00792893519371,2.6131858239580253e-63,2.868424749538905e-60,True,Downregulated,SLC6A4,"solute carrier family 6 (neurotransmitter transporter), member 4",SLC6A4
221132_at,4.069872463648935,10.663644112630003,-6.593771648981067,-27.00748232094102,4.5160407473095566e-55,1.722693387480793e-52,True,Downregulated,CLDN18,claudin 18,CLDN18
217046_s_at,4.928695853829788,11.090437222710001,-6.161741368880214,-35.878080422867285,2.192571525801141e-71,8.758125721923145e-68,True,Downregulated,AGER,advanced glycosylation end product-specific receptor,AGER
213456_at,4.082035109106383,10.0496002288,-5.967565119693616,-23.029620097958755,2.5914531486032964e-55,1.010028253991137e-52,True,Downregulated,SOSTDC1,sclerostin domain containing 1,SOSTDC1
219230_at,6.326038731861703,12.048043747520001,-5.722005015658298,-21.739590332157356,3.1683088871346624e-47,4.9537983082390975e-45,True,Downregulated,TMEM100,transmembrane protein 100,TMEM100
209469_at,3.7773843909574465,9.39937072541,-5.621986334452553,-32.746721876768355,3.390075071223936e-70,1.0129920987825036e-66,True,Downregulated,GPM6A,glycoprotein M6A,GPM6A
205866_at,6.665536651691489,12.07404607539,-5.4085094236985105,-21.336597860188792,2.216297496243381e-52,5.758733194828333e-50,True,Downregulated,FCN3,ficolin (collagen/fibrinogen domain containing) 3,FCN3
206742_at,4.984348700404255,10.33020346859,-5.3458547681857445,-24.39861554136283,3.554038693181052e-50,7.296088746238017e-48,True,Downregulated,FIGF,c-fos induced growth factor (vascular endothelial growth factor D) /// PIR-FIGF readthrough,FIGF
238062_at,2.8825860715744676,8.21551854584,-5.332932474265533,-30.559140757322073,1.918069912838603e-75,1.2895663541492138e-71,True,Downregulated,GPIHBP1,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1,GPIHBP1
203980_at,7.460530829500001,12.681320256500003,-5.220789427000002,-20.719530911102705,7.805595251582614e-43,7.619450929249047e-41,True,Downregulated,FABP4,"fatty acid binding protein 4, adipocyte",FABP4
206208_at,4.251615457670212,9.39113405885,-5.1395186011797875,-34.53066531185905,2.899591802949089e-84,7.797872235670986e-80,True,Downregulated,CA4,carbonic anhydrase IV,CA4
206701_x_at,4.429448118521277,9.541347396719999,-5.111899278198722,-29.199597901397848,9.722903626078878e-67,1.7431869814409285e-63,True,Downregulated,EDNRB,endothelin receptor type B,EDNRB
215454_x_at,7.9318083455531925,12.969575925200001,-5.037767579646808,-19.639968317720545,1.4104535507758816e-35,7.170383240267633e-34,True,Downregulated,SFTPC,surfactant protein C,SFTPC
209840_s_at,3.321326325095744,8.326639574509999,-5.005313249414255,-28.952405651105806,4.660934384541979e-68,1.0027720672278994e-64,True,Downregulated,LRRN3,leucine rich repeat neuronal 3,LRRN3
207547_s_at,3.740951966829787,8.73023642099,-4.989284454160213,-35.62854412193681,5.2351870676924144e-86,2.8157977162290423e-81,True,Downregulated,FAM107A,"family with sequence similarity 107, member A",FAM107A
201539_s_at,6.1858999338723395,11.030384586339999,-4.844484652467659,-25.002976806793445,1.3685649872138467e-52,3.662170965287759e-50,True,Downregulated,FHL1,four and a half LIM domains 1,FHL1
206159_at,2.8381614036702127,7.61232146573,-4.774160062059787,-30.568901121288345,1.4172046425624077e-75,1.088939555783738e-71,True,Downregulated,GDF10,growth differentiation factor 10,GDF10
230469_at,4.92770908062766,9.69929287123,-4.77158379060234,-28.777645834620362,1.0757060142400095e-69,3.045153877995429e-66,True,Downregulated,RTKN2,rhotekin 2,RTKN2
205200_at,7.92232462125532,12.679986976800002,-4.757662355544682,-26.05513242920669,2.94645571001979e-51,6.830951155996743e-49,True,Downregulated,CLEC3B,"C-type lectin domain family 3, member B /// exosome component 7",CLEC3B
241672_at,2.3221562883936167,7.06139599235,-4.7392397039563825,-31.5566794511635,2.262638217239568e-56,1.0675285890565563e-53,True,Downregulated,SERTM1,serine-rich and transmembrane domain containing 1,SERTM1
